ID;NAME;PARENTTHEME
;rootTheme;master
;Projekterfolg;rootTheme
;Projektwirtschaft;rootTheme
;Abgrenzung des Projekts;Projektwirtschaft
;Projektsteckbrief;Projektwirtschaft
;Projektarten;rootTheme
;Produktlebenszyklus;rootTheme
;PM-Phasen;rootTheme
;PM-Dokumente;rootTheme
